addressinfo,county,enforcement_action,enforcement_action_no,enforcement_action_issued,case_closed,media,program,upload_id,city,state,zip,ai_combined
9538 Black Dog Alley,Talbot,Amended Consent Order,SA-13-1886,2013-07-24T00:00:00.000,2017-08-01T00:00:00.000,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor,,Easton,MD,21601,21898 - Talbot Trailer Park
20 Helicopter Drive,Baltimore,"Complaint, Order, Penalty",DJ-13-1757,2012-08-24T00:00:00.000,2013-05-22T00:00:00.000,Surface Water Discharge Unauthorized,,,Middle River,MD,21220,132164 - 20 Helicopter Dr Middle River Sewage
FRNTS E OF RT 5 & N OF MOUNT WOLF RD,St. Mary's,Complaint & Penalty,SAP-14-2015,2013-04-08T00:00:00.000,2015-08-27T00:00:00.000,Notice of Intent;Sediment,,,Charlotte Hall,MD,20622,99881 - Mark Vogel Co/vogel Charlotte Hall/swm
4431 Sands Rd,Anne Arundel,Information Request,CO-13-1892,2022-12-22T00:00:00.000,2024-09-30T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Harwood,MD,20776,"23576 - Harwood Landfill, Inc."
FRNTS E OF RT 5 & N OF MOUNT WOLF RD,St. Mary's,Settlement Agreement,SAP-14-2051,2014-01-27T00:00:00.000,2015-08-27T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Charlotte Hall,MD,20622,99881 - Mark Vogel Co/vogel Charlotte Hall/swm
1701 Leland Ave,Baltimore,Settlement Agreement,SA-15-2118,2014-07-18T00:00:00.000,2014-08-17T00:00:00.000,Surface Water Discharge Unauthorized,,,Middle River,MD,21220,"35508 - Safeway Moving and Storage, Inc"
21843 DOVER BRIDGE RD,Caroline,,,,2018-12-04T00:00:00.000,Not Assigned,,,Bethlehem,MD,21609,79383 - C S Tarbutton Inc/21843 Dover Bridge Rd/
"3039 Union Church Rd, Smith Island",Somerset,Consent Order,CO-10-0998,2009-11-23T00:00:00.000,2024-09-10T00:00:00.000,Surface Water Discharge Permit,,,Tylerton,MD,21866,23641 - Tylerton WWTP
25310 Chinquapin Rd,Kent,Penalty Settlement,PS-13-1928,2013-05-15T00:00:00.000,2013-07-15T00:00:00.000,Groundwater Discharge Permit;Surface Water Discharge Permit,Municipal Minor,,Worton,MD,21678,21045 - Worton - Butlertown WWTP
1522 Linthicum Rd,Montgomery,Penalty Settlement,Eisgruber,2015-05-21T00:00:00.000,2015-06-04T00:00:00.000,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),,Dickerson,MD,20842,141478 - Ponds 1522 Linthicum Rd
Skippers Lane,Kent,Penalty Settlement,PS-13-1922,2013-05-21T00:00:00.000,2013-07-09T00:00:00.000,Sediment,,,Chestertown,MD,21620,132513 - Yoos @ Hillside Rd.
508 Ashberry Lane,Anne Arundel,Settlement Agreement,SAP-12-1717,2012-07-13T00:00:00.000,2012-07-13T00:00:00.000,Tidal Wetlands,,,Severna Park,MD,21146,128251 - Randall Williams
2300-2400 Churchville Rd,Harford,Consent Order,CO-08-0717,2008-04-25T00:00:00.000,2019-01-01T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Churchville,MD,21015,18646 - Campus Hills Shopping Center
1 Clean Water Circle,Washington,Penalty Settlement,Joe Bieberich,2017-04-04T00:00:00.000,2017-04-21T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Hagerstown,MD,21740,1916 - City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site
Near 8841 Willowbrook Rd,Frederick,Settlement Agreement,AP-11-1187,2013-04-23T00:00:00.000,2013-04-30T00:00:00.000,Sediment;Surface Water Discharge Permit,Industrial Stormwater,,Frederick,MD,21702,138778 - Near 8841 Willowbrook Rd Frederick
115 J.W. Williams Road,Calvert,Settlement Agreement,SAP-14-1985,2013-09-09T00:00:00.000,2013-11-30T00:00:00.000,Sediment,,,Prince Frederick,MD,20678,32533 - College of Southern Maryland - Flagship Building
Wildewood Pkwy,St. Mary's,Penalty Settlement,PS-14-2103,2014-06-04T00:00:00.000,2014-09-24T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,California,MD,20619,65753 - WILDEWOOD RETIREMENT VILLAGE
9210 Bottle Branch Rd,Worcester,Penalty Settlement,PS-15-2163,2014-10-09T00:00:00.000,2014-10-29T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Berlin,MD,21811,23638 - Berlin WWTP
"6505  Belcrest Rd, UTC Metro One",Prince George's,Penalty Settlement,SA-14-2110,2014-07-30T00:00:00.000,2014-08-25T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Hyattsville,MD,20782,134303 - 6505 UTC Metro One Belcrest Rd
Cold Spring Lane,Baltimore City,Consent Decree,CJ-21-2692,2021-02-10T00:00:00.000,,Sediment;Stormwater Management,Industrial Stormwater,,Baltimore City,MD,0,102425 - P&J Construction - Cold Spring Site
"Jimtown Road/Lawyer Lane, west of Rt 550 (jimtown Road) between Lawyer Lane and Woodland Avenue",Frederick,Penalty Settlement,Joe Bieberich,2016-06-07T00:00:00.000,2016-06-18T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Thurmont,MD,21788,141320 - Thurmont Community Ambulance Company
650 Legion Rd,Caroline,Consent Order,CO-12-1564,2012-01-17T00:00:00.000,2012-02-07T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Denton,MD,21629,19332 - Denton WWTP
7400 Brooklyn Bridge Road,Prince George's,Penalty Settlement,C-15-2223,2015-02-24T00:00:00.000,2015-03-24T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Laurel,MD,20707,85056 - WSSC Rocky Gorge WPS
28 Third Ave,Kent,Penalty Settlement,"Bull, Kevin",2014-09-18T00:00:00.000,2014-09-25T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Betterton,MD,21610,26971 - Betterton WWTP
Pennsylvania Ave,Washington,Penalty Settlement,PS-13-1732,2012-08-03T00:00:00.000,2012-08-28T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Hagerstown,MD,21742,137755 - Fountainhead One 12-WA-0064
64 Old South River Rd,Anne Arundel,Consent Decree,Arno Laud,2018-01-03T00:00:00.000,2018-07-16T00:00:00.000,Tidal Wetlands,,,Edgewater,MD,21037,126488 - Liberty Yacht Club Inc
"Points Reach (Condos), Tax Map 0021, Parcel 0317, forested area behind Building B",Worcester,Settlement Agreement,Julie Gowe,2014-12-04T00:00:00.000,2015-04-23T00:00:00.000,Non-Tidal Wetlands,,,Berlin,MD,21811,142794 - PointsReach/BuildingB/OceanPines
9101 Old Princess Anne Rd,Somerset,Settlement Agreement,Patrick Noyes,2018-11-08T00:00:00.000,2018-11-21T00:00:00.000,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),,Princess Anne,MD,21853,155446 - Solar Photovoltaic Power Plant Site #4
North East Rd,Cecil,,,2020-02-27T00:00:00.000,2020-04-02T00:00:00.000,Notice of Intent,,,North East,MD,21901,164899 - North East Gateway
3000 Vera St,Baltimore City,Stipulated Penalty,SA-18-2503,2017-12-21T00:00:00.000,2024-10-02T00:00:00.000,Stormwater Management,Industrial Stormwater,,Curtis Bay,MD,21226,"23058 - Sims ARG, Inc. - Vera Street"
City Wide Sewerage System,Baltimore City,Stipulated Penalty,Arno Laud,2012-10-22T00:00:00.000,2012-10-23T00:00:00.000,Surface Water Discharge Unauthorized,,,Baltimore,MD,0,31395 - Baltimore City Sanitary Sewer Overflows
1635 Brodbeck Rd.,Carroll,"Complaint, Order, Penalty",AOP-21-2663,2020-07-24T00:00:00.000,2021-05-13T00:00:00.000,Sediment;Waterway Construction,,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2550856'},Hampstead,MD,21074,160156 - Donald E. Ruby Property
1211 Lake Ridge Drive,Calvert,Settlement Agreement,Arno Laud,2017-08-16T00:00:00.000,2019-07-24T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Sunderland,MD,20689,143857 - 1211 Lake Ridge Drive / Thomas Joseph Cable
23750 Larney Nick Rd,Kent,Required Confirmation,Lenn Roberts,2020-10-08T00:00:00.000,2020-11-30T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Chestertown,MD,21620,4162 - J Lawrence Nicholson Landfill
City Wide Sewerage System,Baltimore City,Consent Decree,Jess Herpel,2017-10-12T00:00:00.000,2024-10-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Baltimore,MD,0,31395 - Baltimore City Sanitary Sewer Overflows
12015 Woodbury Road,Charles,Penalty Settlement,PS -13-1714,2012-07-11T00:00:00.000,2012-08-06T00:00:00.000,Tidal Wetlands,,,Nanjemoy,MD,20662,"103606 - Remmers, Jerome"
Mt. Zion Rd,Garrett,Penalty Settlement,PAF-13-1059,2013-04-24T00:00:00.000,2014-02-18T00:00:00.000,Sediment,,,Swanton,MD,21561,139385 - Sharpless Mine Rd
125 Kerney Street,Caroline,Penalty Settlement,Patrick Noyes,2019-09-23T00:00:00.000,2019-09-25T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,,Federalsburg,MD,21632,23658 - Federalsburg Wastewater Treatment Plant
County Wide Sewerage System,Charles,Penalty Settlement,Arno Laud,2015-09-16T00:00:00.000,2015-09-28T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31398 - Charles County Sanitary Sewer Overflows
7604 Energy Pkwy,Anne Arundel,Penalty Settlement,Arno Laud,2015-08-25T00:00:00.000,2015-09-03T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor,,Curtis Bay,MD,21226,145871 - Command Technology
2100 Biggs Hwy.,Cecil,Settlement Agreement,Eisgruber,2010-09-15T00:00:00.000,2011-01-04T00:00:00.000,Notice of Intent;Sediment,,,Rising Sun,MD,21911,67337 - Armour Farms Inc.
7610 Shirley Boulevard,Charles,Settlement Agreement,Eisgruber,2012-12-21T00:00:00.000,2013-08-26T00:00:00.000,Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands,Notice of Intent (Construction),,Port Tobacco,MD,20677,"111958 - Mona, Scott/port Tobacco Marina/dredging"
11416 Ocean Gateway (Rte 50),Worcester,Penalty Settlement,Patrick Noyes,2017-01-18T00:00:00.000,2017-02-23T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Berlin,MD,21811,75359 - Wal-Mart Water Treatment Plant
Rockenbach Road,Anne Arundel,Penalty Settlement,C-17-2440,2017-03-08T00:00:00.000,2017-05-02T00:00:00.000,Sediment,,,Fort George G. Meade,MD,20755,"140140 - US NSA-Ft Meade, Building 1"
3705 Harbor Road,Calvert,Penalty Settlement,Arno Laud,2017-08-23T00:00:00.000,2017-08-31T00:00:00.000,Sediment;Surface Water Discharge Permit,,,Chesapeake Beach,MD,20732,31447 - Abner's Marina
7546 Ogden Dr,Prince George's,Amended Complaint & Penalty,AOP-17-2443,2017-03-13T00:00:00.000,2018-02-09T00:00:00.000,Non-Tidal Wetlands;Sediment;Surface Water Discharge Unauthorized,Industrial Minor,,Clinton,MD,20735,137229 - DB Custom
Lots 4R and 5R,Calvert,Settlement Agreement,SA-13-1788,2012-11-13T00:00:00.000,2014-04-21T00:00:00.000,Tidal Wetlands,,,Solomons,MD,20688,129215 - Fowler Land Development
"9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr",Montgomery,Consent Order,,2015-01-07T00:00:00.000,2015-01-22T00:00:00.000,Surface Water Discharge Permit,,,Chevy Chase,MD,20815,32218 - WSSC - Bi-County Water Main Package Wastewater Treatment Plant
4000 Universal Trade Dr,Baltimore,Settlement Agreement,Patrick Noyes,2015-12-15T00:00:00.000,2016-01-11T00:00:00.000,Surface Water Discharge Permit,Industrial Stormwater,,Dundalk,MD,21222,"23210 - Universal Distribution Services, Inc"
TALBOT ST & BAY S OF RT 50 BRIDGE IN OC,Worcester,Penalty Settlement,Eastern,2018-11-05T00:00:00.000,2018-11-20T00:00:00.000,Tidal Wetlands,Notice of Intent (Construction),,Ocean City,MD,21842,93625 - Bunting Family Llc/The Angler/dredging
1802 Northwood Drive,Wicomico,Administrative Order,SC-O-12-1517,,2010-12-29T00:00:00.000,Not Applicable,,,Salisbury,MD,21801,132263 - D. W. Burt Concrete Construction
"13700 Hanover Pike, 5401 Rue Saint Lo Dr",Baltimore,Penalty Settlement,,,2016-07-13T00:00:00.000,Not Applicable,Municipal Minor,,Reisterstown,MD,21136,8220 - Camp Fretterd State Army and Command Center
916 Sahlin Farm Rd,Anne Arundel,Settlement Agreement,SAP-13-1760,2012-09-12T00:00:00.000,2012-10-10T00:00:00.000,Sediment,,,Annapolis,MD,21401,135563 - Sahlin Farm Rd
7751 Rollyston Dr,Talbot,Penalty Settlement,"Eisengruber, Li",2011-05-10T00:00:00.000,2024-09-26T00:00:00.000,Non-Tidal Wetlands,,,Saint Michaels,MD,21663,66043 - Angel Enterprises Limited Partnership
Between 5730 and 5736 Mains Lane,Frederick,Settlement Agreement,Eisgruber,2014-11-13T00:00:00.000,2015-04-22T00:00:00.000,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),,Frederick,MD,21701,80959 - JNP Capital Management LLC-Main Heights
1925 Chimney Lane,Calvert,,,,2011-03-24T00:00:00.000,Not Applicable,,,Saint Leonard,MD,20685,130570 - Axtell 1925 Chimney Lane
205 Sugar Notch Rd,Calvert,Settlement Agreement,Arno Laud,2013-03-12T00:00:00.000,2013-12-06T00:00:00.000,Sediment,,,Prince Frederick,MD,20678,137195 - 205 Sugar Notch Rd
3946 Oyster House Road,Calvert,Penalty Settlement,SA-13-1852,2013-02-13T00:00:00.000,2013-01-28T00:00:00.000,Sediment,,,Prince Frederick,MD,20678,131247 - Stoney's Banquet Facility
3501 Asiatic Ave,Baltimore City,Required Confirmation,Lenn Roberts,2015-01-28T00:00:00.000,2022-03-07T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Curtis Bay,MD,21226,3076 - Patapsco WWTP
105 Back Landing Rd,Caroline,Stipulated Penalty,SP-23-2893,2023-04-25T00:00:00.000,2023-06-29T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1790649'},Preston,MD,21655,23657 - Preston WWTP
1005 Caroline Dr,Caroline,Penalty Settlement,Patrick Noyes,2018-12-18T00:00:00.000,2019-02-01T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor,,Federalsburg,MD,21632,152053 - CW Transport LLC
County Wide Sewerage System,Allegany,Stipulated Penalty,SP-21-2722,2020-05-31T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1597406'},County-wide,MD,0,31405 - Allegany County Sanitary Sewer Overflows
"310 Gay St, District Court Bldg",Dorchester,Stipulated Penalty,SP-14-2098,2014-06-10T00:00:00.000,2014-07-08T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Cambridge,MD,21613,140425 - SMR Investments LLC
Cedar Street,Caroline,Penalty Settlement,SAP-12-1646,2012-05-04T00:00:00.000,2012-04-17T00:00:00.000,Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction),,Greensboro,MD,21639,130511 - Kinnamon Meadows
2260 Solomons Island Road,Calvert,Penalty Settlement,15-DP-3248,2018-05-16T00:00:00.000,2018-06-06T00:00:00.000,Groundwater Discharge Permit,,,Huntingtown,MD,20639,142671 - WLR Automotive Group
"SOUTH SIDE OF VAN DUSEN ROAD, BETWEEN VIRGINIA MANOR RD, AND CONTEE ROAD",Prince George's,Penalty Settlement,PS-17-2435,2017-02-01T00:00:00.000,2017-02-28T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Laurel,MD,20707,151095 - Avalonbay At Andersons Corner 13-NT-0247/MDRCQ01IX
2100 Cove Point Road,Calvert,Penalty Settlement,PS-14-1976,2013-08-15T00:00:00.000,2013-09-05T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Lusby,MD,20657,"5287 - Cove Point LNG, LP"
AWG security boardwalk/At the intersection of Huber Rd and Morrsion Street,Anne Arundel,Penalty Settlement,C-13-1927,2013-05-06T00:00:00.000,2013-08-02T00:00:00.000,Sediment,,,Fort George G. Meade,MD,20755,"136736 - US Army, Fort Meade-AWC HQ Complex"
201 Water St,Anne Arundel,Penalty Settlement,15-PS-2192,2014-12-23T00:00:00.000,2015-01-02T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Severna Park,MD,21146,23922 - Severn School
5073 Grays Inn Creek Rd,Kent,Consent Order,CO-19-2588,2019-05-20T00:00:00.000,2019-12-10T00:00:00.000,Tidal Wetlands,,,Rock Hall,MD,21661,138706 - Doug Clark
County Wide Sewerage System,Harford,Penalty Settlement,PS-16-2314,2015-07-17T00:00:00.000,2015-10-07T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31408 - Harford County Sanitary Sewer Overflows
County Wide Sewerage System,Charles,Penalty Settlement,Patrick Noyes,2015-12-04T00:00:00.000,2015-12-29T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31398 - Charles County Sanitary Sewer Overflows
ABBERLY CREST DR,St. Mary's,Penalty Settlement,C-15-2283,2015-07-09T00:00:00.000,2015-07-28T00:00:00.000,Sediment,,,Lexington Park,MD,20653,65451 - ABBERLY CREST PHASE 2
24591 Phils Lane,St. Mary's,Settlement Agreement,SAP-18-2521,2018-02-16T00:00:00.000,2019-01-14T00:00:00.000,Not Assigned,,,Hollywood,MD,20636,97745 - Estate Of Philip E Clarke/revetment
2300-2400 Churchville Rd,Harford,Stipulated Penalty,SP-14-2101,2014-07-07T00:00:00.000,2014-08-07T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Churchville,MD,21015,18646 - Campus Hills Shopping Center
Rolling Oaks Subdivision,Allegany,Consent Order,ACO-16-2388,2016-04-18T00:00:00.000,2022-10-19T00:00:00.000,Notice of Intent;Sediment;Stormwater Management,Notice of Intent (Construction),,Ellerslie,MD,21529,136349 - Rolling Oaks Subdivision
1681 Gemini Dr,Carroll,Penalty Settlement,Eisgruber,2015-06-30T00:00:00.000,2015-07-31T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Sykesville,MD,21784,142316 - Sewage Spill at Stormwater Management pond behind 1681 Gemini Dr Sykesville
SMECO Row @ Billingsley Rd,Charles,Penalty Settlement,,2012-06-19T00:00:00.000,2012-08-17T00:00:00.000,Non-Tidal Wetlands,,,Saint Charles,MD,20602,68896 - Piney Branch Bog
Cambridge & Vicinity,Dorchester,Amended Consent Decree,C-6032,1999-02-08T00:00:00.000,2014-12-17T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (CSO),,Cambridge,MD,21613,31815 - City of Cambridge Combined Sewer Overflows
30503 E Line Rd,Wicomico,Penalty Settlement,Julie Gowe,2012-03-13T00:00:00.000,2012-12-10T00:00:00.000,Sediment,,,Delmar,MD,21801,64398 - Heron Ponds
16550 Annapolis Rd,Prince George's,Penalty Settlement,Patrick Noyes,2016-09-12T00:00:00.000,2016-10-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Bowie,MD,20715,18549 - City of Bowie WWTP
S SIDE JEFFERSON PIKE IMMED SW OF I-70,Frederick,Penalty Settlement,C-15-2148,2014-09-16T00:00:00.000,2014-10-02T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Frederick,MD,21703,69536 - Nexus Land Group/jefferson Tech Park/
8000 Beechcraft Avenue,Montgomery,Settlement Agreement and Consent Order,SAP-18-2486,2017-08-30T00:00:00.000,2021-09-21T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor,,Gaithersburg,MD,20879,"20072 - Concrete General, Inc"
27 Benjamin Park Dr,Cecil,Administrative Order,CO-17-2458,2017-04-28T00:00:00.000,2018-02-15T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Port Deposit,MD,21904,21857 - Homestead Mobile Estates WWTP
6505 Curley Hall Road,Charles,Penalty Settlement,Arno Laud,2011-10-21T00:00:00.000,2014-04-01T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,La Plata,MD,20646,19072 - Town of La Plata WWTP Clarifier Excavation
23750 Larney Nick Rd,Kent,Settlement Agreement and Consent Order,ACO-17-2423,2016-08-03T00:00:00.000,2020-11-30T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Chestertown,MD,21620,4162 - J Lawrence Nicholson Landfill
Silverwood Lane,Calvert,Site Complaint,,,2016-07-13T00:00:00.000,Not Applicable,,,Prince Frederick,MD,20678,64322 - Oak Tree Landing
735 South Main St,Outside of Maryland,,,,2013-11-20T00:00:00.000,Not Assigned,,,Chincoteague,VA,23336,"67659 - Fisher Marine Construction, Inc"
4707 Church Road,Prince George's,,,,2024-09-20T00:00:00.000,Not Assigned,,,Bowie,MD,20720,131371 - Stream Filling Collington trib
2260 Solomons Island Road,Calvert,Penalty Settlement,SP-18-2532,2018-05-16T00:00:00.000,2018-06-06T00:00:00.000,Groundwater Discharge Permit,,,Huntingtown,MD,20639,142671 - WLR Automotive Group
2822 Morrison Avenue,Anne Arundel,Penalty Settlement,PS-15-2119,2014-07-16T00:00:00.000,2014-11-24T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Fort George G. Meade,MD,20755,137095 - Fort Meade
5500 Chemical Rd,Baltimore City,Penalty Settlement,PS-13-1793,2012-10-26T00:00:00.000,2012-12-01T00:00:00.000,Surface Water Discharge Permit,Industrial Major,,Curtis Bay,MD,21226,2102 - W. R. Grace & Co. - Curtis Bay Works
3932 Germantown Rd,Anne Arundel,,,,2021-02-02T00:00:00.000,Not Assigned,,,Edgewater,MD,21037,19755 - Rhode River Marina
City Wide Sewerage System,Baltimore City,Stipulated Penalty,SP-21-2727,2021-06-23T00:00:00.000,2024-10-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Baltimore,MD,0,31395 - Baltimore City Sanitary Sewer Overflows
4325 Washington Blvd,Baltimore,Penalty Settlement,PS-14-1987,2013-10-02T00:00:00.000,2015-02-25T00:00:00.000,Sediment;Waterway Construction,,,Halethorpe,MD,21227,140101 - 4325 Washington Blvd Halethorpe
8300 Race Track Road,Prince George's,Penalty Settlement,Arno Laud,2015-12-01T00:00:00.000,2015-12-01T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Bowie,MD,20715,731 - Southern MD Agricultural Association/Bowie Training Facility
1161 Old New Windsor Pike,Carroll,Required Confirmation,Lenn Roberts,2020-05-04T00:00:00.000,2020-05-07T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Westminster,MD,21158,23482 - The City of Westminster Water Reclamation Facility (WRF)
1200 White Sands,Calvert,Stipulated Penalty,Patrick Noyes,2018-12-28T00:00:00.000,2019-03-20T00:00:00.000,Groundwater Discharge Permit;Surface Water Discharge Permit;Tidal Wetlands,Municipal Minor,,Lusby,MD,20657,64297 - Vera's Beach Club
11170 Mears Creek Rd,Calvert,Consent Order,,2009-03-19T00:00:00.000,2014-09-04T00:00:00.000,Tidal Wetlands,,,Lusby,MD,20657,132956 - 11170 Mears Creek Rd
County Wide Sewerage System,Somerset,Penalty Settlement,Jami Everton,2020-02-24T00:00:00.000,2020-09-04T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,,County-wide,MD,0,31413 - Somerset County Sanitary District Collection System
City Wide Sewerage System,Baltimore City,Penalty Settlement,"Bull, Kevin",2015-01-30T00:00:00.000,2015-03-04T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Baltimore,MD,0,31395 - Baltimore City Sanitary Sewer Overflows
300 Calverton School Road,Calvert,Penalty Settlement,PS-14-2036,2013-12-19T00:00:00.000,2014-01-09T00:00:00.000,Sediment,,,Huntingtown,MD,20639,25374 - Calverton School
9225 Twinberry Drive,Charles,Amended Consent Order,ACO-06-0268,2014-09-25T00:00:00.000,2014-09-25T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Bel Alton,MD,20611,23637 - Bel Alton WWTP
6505 Curley Hall Road,Charles,Consent Order,CO-12-1495,2011-10-24T00:00:00.000,2015-01-06T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,La Plata,MD,20646,135372 - La Plata WWTP ENR Upgrade
Cherry Hill Rd and Moltor Rd,Cecil,Penalty Settlement,,2021-12-15T00:00:00.000,2022-02-09T00:00:00.000,Sediment,Notice of Intent (Construction),,Elkton,MD,21921,131420 - Pines At Cherry Hill
"Sitatunga Barn, Maryland Zoo, Druid Hill Park",Baltimore City,Penalty Settlement,PS-13-1750,2012-09-04T00:00:00.000,2012-10-01T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Baltimore City,MD,21217,137997 - Sitatunga Barn at the Maryland Zoo
Routes 413 & Kingston Lane,Somerset,Penalty Settlement,Kevin Bull,2015-11-24T00:00:00.000,2015-11-25T00:00:00.000,Sediment,,,Princess Anne,MD,21853,145335 - Hess Property at Kingston Lane and Rt. 413
2500 Conowingo Road,Cecil,Stipulated Penalty,ACJ-15-2259,2013-04-12T00:00:00.000,2013-05-30T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,,Rising Sun,MD,21911,23650 - Rising Sun WWTP
"39.258443,-76.712637",Baltimore,Penalty Settlement,PS-13-1824,2012-12-17T00:00:00.000,2013-01-11T00:00:00.000,Sediment,,,Catonsville,MD,21228,126347 - UMBC Community Center
1634 Dunn Swamp Road,Worcester,Settlement Agreement,Jami Everton,2018-09-19T00:00:00.000,2021-01-22T00:00:00.000,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,,,Pocomoke City,MD,21851,18826 - Pocomoke City WWTP
1575 Fairview Beach Blvd,Anne Arundel,Penalty Settlement,PS-13-1764,2012-09-05T00:00:00.000,2012-09-19T00:00:00.000,Tidal Wetlands,,,Pasadena,MD,21122,125561 - Rock Creek Management Co-Fairview Marina
"Mountaindale Rd, Ted Sabate",Frederick,Penalty Settlement,PS-15-2158,2014-09-30T00:00:00.000,2014-10-17T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Thurmont,MD,21788,144338 - Sabate
1303 S Salisbury Blvd,Wicomico,Complaint & Penalty,Ap-11-1342,2011-05-04T00:00:00.000,2015-01-23T00:00:00.000,Sediment,,,Salisbury,MD,21801,"64368 - Bayside Real Estate, LLC"
Sewerage Systems in Montgomery & Prince George's Counties,Statewide,Stipulated Penalty,SP-22-2748,2021-10-25T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631303'},PG & Montgolery Counties,MD,0,31417 - Washington Suburban Sanitary Commission Sanitary Sewer Overflows
East bank of the Anacostia River,Prince George's,Penalty Settlement,12-1137 (R),2015-04-02T00:00:00.000,2015-04-15T00:00:00.000,Tidal Wetlands,,,Cheverly,MD,20781,"138224 - MNCPPC-Anacostia Riverwalk, Kenilworth Section"
1010 Roslyn Ave,Dorchester,Offer to Settle,,2020-03-09T00:00:00.000,2020-08-31T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,,Cambridge,MD,21613,4013 - Cambridge WWTP
Quarry Rd,Harford,Settlement Agreement,SAP-12-1489,2011-11-20T00:00:00.000,2012-10-01T00:00:00.000,Notice of Intent;Sediment,,,Havre De Grace,MD,21078,68678 - City of Havre de Grace Municipal Disposal Site
